ID	Pair.Name	Ligand.ApprovedSymbol	Ligand.Name	Receptor.ApprovedSymbol	Receptor.Name	DLRP	HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	HPMR.Ligand	HPMR.Receptor	PMID.Manual	Pair.Source	Pair.Evidence
485	CD24_SELP	CD24	CD24 molecule	SELP	selectin P (granule membrane protein 140kDa, antigen CD62)	NA	HPMR	NA	HPRD	NA	NA	CD24	SELP	NA	known	literature supported
486	CD34_SELL	CD34	CD34 molecule	SELL	selectin L	NA	HPMR	NA	NA	STRING.binding	NA	CD34	SELL	NA	known	literature supported
487	CD34_SELP	CD34	CD34 molecule	SELP	selectin P (granule membrane protein 140kDa, antigen CD62)	NA	NA	NA	NA	STRING.binding	NA	CD34	SELP	NA	novel	putative
488	CD40LG_CD40	CD40LG	CD40 ligand	CD40	CD40 molecule, TNF receptor superfamily member 5	DLRP	HPMR	IUPHAR	HPRD	STRING.binding	STRING.experiment	CD40LG	CD40	NA	known	literature supported
489	CD40LG_ITGAM	CD40LG	CD40 ligand	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	NA	NA	NA	NA	STRING.binding	NA	CD40LG	ITGAM	NA	novel	putative
490	CD40LG_ITGB2	CD40LG	CD40 ligand	ITGB2	integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	NA	NA	NA	NA	STRING.binding	NA	CD40LG	ITGB2	NA	novel	putative
491	CD40LG_TRAF3	CD40LG	CD40 ligand	TRAF3	TNF receptor-associated factor 3	NA	NA	NA	NA	STRING.binding	NA	CD40LG	TRAF3	NA	novel	putative
492	CD55_CD97	CD55	CD55 molecule, decay accelerating factor for complement (Cromer blood group)	CD97	CD97 molecule	NA	HPMR	NA	HPRD	STRING.binding	NA	CD55	CD97	NA	known	literature supported
493	CD55_CR1	CD55	CD55 molecule, decay accelerating factor for complement (Cromer blood group)	CR1	complement component (3b/4b) receptor 1 (Knops blood group)	NA	NA	NA	HPRD	NA	NA	CD55	NA	NA	novel	literature supported
494	CD55_EMR2	CD55	CD55 molecule, decay accelerating factor for complement (Cromer blood group)	EMR2	egf-like module containing, mucin-like, hormone receptor-like 2	NA	NA	NA	NA	STRING.binding	NA	CD55	EMR2	NA	novel	putative
495	CD5L_CD5	CD5L	CD5 molecule-like	CD5	CD5 molecule	NA	NA	NA	NA	STRING.binding	NA	NA	NA	9723705	novel	literature supported
496	CD70_CD27	CD70	CD70 molecule	CD27	CD27 molecule	DLRP	HPMR	IUPHAR	HPRD	STRING.binding	NA	TNFSF7	TNFRSF7	NA	known	literature supported
497	CDH1_CDH2	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	CDH2	cadherin 2, type 1, N-cadherin (neuronal)	NA	NA	NA	NA	STRING.binding	NA	CDH1	NA	NA	novel	putative
498	CDH1_EGFR	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	EGFR	epidermal growth factor receptor	NA	NA	NA	HPRD	STRING.binding	NA	CDH1	EGFR	NA	novel	literature supported
499	CDH1_ERBB3	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	ERBB3	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3	NA	NA	NA	NA	STRING.binding	NA	CDH1	ERBB3	NA	novel	putative
500	CDH1_IGF1R	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	IGF1R	insulin-like growth factor 1 receptor	NA	NA	NA	NA	STRING.binding	NA	CDH1	IGF1R	22479204	novel	literature supported
501	CDH1_ITGAE	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	ITGAE	integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	NA	HPMR	NA	HPRD	NA	NA	CDH1	ITGAE	NA	known	literature supported
502	CDH1_ITGB7	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	ITGB7	integrin, beta 7	NA	HPMR	NA	HPRD	NA	NA	CDH1	ITGB7	NA	known	literature supported
503	CDH1_KLRG1	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	KLRG1	killer cell lectin-like receptor subfamily G, member 1	NA	NA	NA	NA	STRING.binding	STRING.experiment	CDH1	KLRG1	NA	novel	putative
504	CDH1_LRP5	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	LRP5	low density lipoprotein receptor-related protein 5	NA	NA	NA	NA	STRING.binding	NA	CDH1	LRP5	NA	novel	putative
505	CDH1_PTPRF	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	PTPRF	protein tyrosine phosphatase, receptor type, F	NA	NA	NA	HPRD	NA	NA	CDH1	PTPRF	NA	novel	literature supported
506	CDH1_PTPRM	CDH1	cadherin 1, type 1, E-cadherin (epithelial)	PTPRM	protein tyrosine phosphatase, receptor type, M	NA	NA	NA	HPRD	NA	STRING.experiment	CDH1	PTPRM	NA	novel	literature supported
507	CELA3B_CHRM3	CELA3B	chymotrypsin-like elastase family, member 3B	CHRM3	cholinergic receptor, muscarinic 3	NA	NA	NA	NA	STRING.binding	NA	NA	CHRM3	NA	novel	putative
508	CEL_CXCR4	CEL	carboxyl ester lipase	CXCR4	chemokine (C-X-C motif) receptor 4	NA	NA	NA	NA	NA	NA	NA	NA	18037996	novel	literature supported
509	CFH_ITGAM	CFH	complement factor H	ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	NA	NA	NA	HPRD	NA	NA	CFH	ITGAM	NA	novel	literature supported
510	CFH_SELL	CFH	complement factor H	SELL	selectin L	NA	HPMR	NA	HPRD	NA	NA	CFH	SELL	NA	known	literature supported
511	CGA_FSHR	CGA	glycoprotein hormones, alpha polypeptide	FSHR	follicle stimulating hormone receptor	NA	NA	IUPHAR	NA	STRING.binding	STRING.experiment	CGA	FSHR	NA	known	literature supported
512	CGA_LHCGR	CGA	glycoprotein hormones, alpha polypeptide	LHCGR	luteinizing hormone/choriogonadotropin receptor	NA	HPMR	IUPHAR	HPRD	STRING.binding	NA	CGA	LHCGR	NA	known	literature supported
513	CGA_SIRPA	CGA	glycoprotein hormones, alpha polypeptide	SIRPA	signal-regulatory protein alpha	NA	NA	NA	NA	STRING.binding	STRING.experiment	CGA	NA	NA	novel	putative
514	CGA_TSHR	CGA	glycoprotein hormones, alpha polypeptide	TSHR	thyroid stimulating hormone receptor	NA	NA	IUPHAR	NA	STRING.binding	NA	CGA	TSHR	NA	known	literature supported
515	CGB8_SIRPA	CGB8	chorionic gonadotropin, beta polypeptide 8	SIRPA	signal-regulatory protein alpha	NA	NA	NA	NA	STRING.binding	STRING.experiment	NA	NA	NA	novel	putative
516	CGB_LHCGR	CGB	chorionic gonadotropin, beta polypeptide	LHCGR	luteinizing hormone/choriogonadotropin receptor	NA	HPMR	IUPHAR	HPRD	NA	NA	CGB	LHCGR	NA	known	literature supported
517	CGN_F11R	CGN	cingulin	F11R	F11 receptor	NA	NA	NA	HPRD	NA	NA	NA	NA	NA	novel	literature supported
518	CGN_OCLN	CGN	cingulin	OCLN	occludin	NA	NA	NA	NA	STRING.binding	NA	NA	NA	NA	novel	putative
519	CGN_TGFBR1	CGN	cingulin	TGFBR1	transforming growth factor, beta receptor 1	NA	NA	NA	NA	STRING.binding	NA	NA	TGFBR1	NA	novel	putative
520	CGN_TGFBR2	CGN	cingulin	TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	NA	NA	NA	NA	STRING.binding	NA	NA	TGFBR2	NA	novel	putative
521	CHAD_ITGA2	CHAD	chondroadherin	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	NA	HPMR	NA	NA	NA	NA	CHAD	ITGA2	NA	known	literature supported
522	CHAD_ITGB1	CHAD	chondroadherin	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	NA	HPMR	NA	NA	NA	NA	CHAD	ITGB1	NA	known	literature supported
523	CLCF1_CNTFR	CLCF1	cardiotrophin-like cytokine factor 1	CNTFR	ciliary neurotrophic factor receptor	NA	HPMR	NA	HPRD	STRING.binding	STRING.experiment	CLCF1	CNTFR	NA	known	literature supported
524	CLCF1_CRLF1	CLCF1	cardiotrophin-like cytokine factor 1	CRLF1	cytokine receptor-like factor 1	NA	HPMR	NA	HPRD	STRING.binding	NA	CLCF1	CRLF1	NA	known	literature supported
525	CLCF1_IL6ST	CLCF1	cardiotrophin-like cytokine factor 1	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	NA	HPMR	NA	NA	NA	NA	CLCF1	IL6ST	NA	known	literature supported
526	CLCF1_LIFR	CLCF1	cardiotrophin-like cytokine factor 1	LIFR	leukemia inhibitory factor receptor alpha	NA	HPMR	NA	NA	NA	NA	CLCF1	LIFR	NA	known	literature supported
527	CLEC11A_KIT	CLEC11A	C-type lectin domain family 11, member A	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	DLRP	NA	NA	NA	NA	NA	CLEC11A	KIT	NA	known	putative
528	CLEC3A_CLEC10A	CLEC3A	C-type lectin domain family 3, member A	CLEC10A	C-type lectin domain family 10, member A	NA	NA	NA	NA	STRING.binding	NA	NA	CLEC10A	NA	novel	putative
529	CLEC3A_CLEC2B	CLEC3A	C-type lectin domain family 3, member A	CLEC2B	C-type lectin domain family 2, member B	NA	NA	NA	NA	STRING.binding	NA	NA	NA	NA	novel	putative
530	CNTF_CNTFR	CNTF	ciliary neurotrophic factor	CNTFR	ciliary neurotrophic factor receptor	DLRP	NA	NA	HPRD	STRING.binding	STRING.experiment	CNTF	CNTFR	NA	known	literature supported
531	CNTF_IL6R	CNTF	ciliary neurotrophic factor	IL6R	interleukin 6 receptor	NA	NA	NA	HPRD	STRING.binding	STRING.experiment	CNTF	IL6R	NA	novel	literature supported
532	CNTF_IL6ST	CNTF	ciliary neurotrophic factor	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	DLRP	NA	NA	HPRD	NA	STRING.experiment	CNTF	IL6ST	NA	known	literature supported
533	CNTF_LIFR	CNTF	ciliary neurotrophic factor	LIFR	leukemia inhibitory factor receptor alpha	DLRP	NA	NA	HPRD	STRING.binding	STRING.experiment	CNTF	LIFR	NA	known	literature supported
534	CNTN2_CNTN1	CNTN2	contactin 2 (axonal)	CNTN1	contactin 1	NA	NA	NA	HPRD	NA	NA	NA	CNTN1	NA	novel	literature supported
535	CNTN2_CNTNAP2	CNTN2	contactin 2 (axonal)	CNTNAP2	contactin associated protein-like 2	NA	NA	NA	HPRD	STRING.binding	NA	NA	NA	NA	novel	literature supported
536	CNTN2_NRCAM	CNTN2	contactin 2 (axonal)	NRCAM	neuronal cell adhesion molecule	NA	NA	NA	HPRD	STRING.binding	NA	NA	NA	NA	novel	literature supported
537	CNTN2_NRP1	CNTN2	contactin 2 (axonal)	NRP1	neuropilin 1	NA	NA	NA	NA	STRING.binding	NA	NA	NRP1	NA	novel	putative
538	CNTN4_PTPRG	CNTN4	contactin 4	PTPRG	protein tyrosine phosphatase, receptor type, G	NA	NA	NA	NA	NA	NA	NA	NA	20133774	novel	literature supported
539	COL11A1_DDR1	COL11A1	collagen, type XI, alpha 1	DDR1	discoidin domain receptor tyrosine kinase 1	NA	NA	NA	HPRD	NA	NA	NA	DDR1	NA	novel	literature supported
540	COL11A1_ITGA2	COL11A1	collagen, type XI, alpha 1	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	NA	NA	NA	NA	STRING.binding	NA	NA	ITGA2	NA	novel	putative
541	COL11A1_ITGB1	COL11A1	collagen, type XI, alpha 1	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	NA	NA	NA	NA	STRING.binding	NA	NA	ITGB1	NA	novel	putative
542	COL14A1_CD44	COL14A1	collagen, type XIV, alpha 1	CD44	CD44 molecule (Indian blood group)	NA	NA	NA	HPRD	NA	NA	NA	CD44	NA	novel	literature supported
543	COL18A1_GPC1	COL18A1	collagen, type XVIII, alpha 1	GPC1	glypican 1	NA	HPMR	NA	HPRD	NA	NA	COL18A1	GPC1	NA	known	literature supported
544	COL18A1_GPC4	COL18A1	collagen, type XVIII, alpha 1	GPC4	glypican 4	NA	NA	NA	HPRD	NA	NA	COL18A1	NA	NA	novel	literature supported
545	COL18A1_ITGA5	COL18A1	collagen, type XVIII, alpha 1	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	NA	HPMR	NA	HPRD	STRING.binding	NA	COL18A1	ITGA5	NA	known	literature supported
546	COL18A1_ITGB1	COL18A1	collagen, type XVIII, alpha 1	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	NA	HPMR	NA	NA	STRING.binding	NA	COL18A1	ITGB1	NA	known	literature supported
547	COL18A1_KDR	COL18A1	collagen, type XVIII, alpha 1	KDR	kinase insert domain receptor (a type III receptor tyrosine kinase)	NA	NA	NA	HPRD	NA	NA	COL18A1	KDR	NA	novel	literature supported
548	COL1A1_CD36	COL1A1	collagen, type I, alpha 1	CD36	CD36 molecule (thrombospondin receptor)	NA	NA	NA	HPRD	STRING.binding	NA	COL1A1	CD36	NA	novel	literature supported
549	COL1A1_CD44	COL1A1	collagen, type I, alpha 1	CD44	CD44 molecule (Indian blood group)	NA	NA	NA	HPRD	NA	NA	COL1A1	CD44	NA	novel	literature supported
550	COL1A1_CD93	COL1A1	collagen, type I, alpha 1	CD93	CD93 molecule	NA	NA	NA	HPRD	NA	NA	COL1A1	CD93	NA	novel	literature supported
551	COL1A1_DDR1	COL1A1	collagen, type I, alpha 1	DDR1	discoidin domain receptor tyrosine kinase 1	NA	HPMR	NA	NA	NA	NA	COL1A1	DDR1	NA	known	literature supported
552	COL1A1_DDR2	COL1A1	collagen, type I, alpha 1	DDR2	discoidin domain receptor tyrosine kinase 2	NA	HPMR	NA	HPRD	NA	NA	COL1A1	DDR2	NA	known	literature supported
553	COL1A1_FLT4	COL1A1	collagen, type I, alpha 1	FLT4	fms-related tyrosine kinase 4	NA	NA	NA	NA	STRING.binding	NA	COL1A1	FLT4	NA	novel	putative
554	COL1A1_ITGA1	COL1A1	collagen, type I, alpha 1	ITGA1	integrin, alpha 1	NA	NA	NA	NA	STRING.binding	NA	COL1A1	ITGA1	NA	novel	putative
555	COL1A1_ITGA11	COL1A1	collagen, type I, alpha 1	ITGA11	integrin, alpha 11	NA	HPMR	NA	NA	STRING.binding	NA	COL1A1	ITGA11	NA	known	literature supported
556	COL1A1_ITGA2	COL1A1	collagen, type I, alpha 1	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	NA	HPMR	NA	HPRD	STRING.binding	STRING.experiment	COL1A1	ITGA2	NA	known	literature supported
557	COL1A1_ITGA5	COL1A1	collagen, type I, alpha 1	ITGA5	integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	NA	NA	NA	HPRD	NA	NA	COL1A1	ITGA5	NA	novel	literature supported
558	COL1A1_ITGAV	COL1A1	collagen, type I, alpha 1	ITGAV	integrin, alpha V	NA	NA	NA	NA	STRING.binding	NA	COL1A1	ITGAV	NA	novel	putative
559	COL1A1_ITGB1	COL1A1	collagen, type I, alpha 1	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	NA	HPMR	NA	NA	STRING.binding	NA	COL1A1	ITGB1	NA	known	literature supported
560	COL1A1_TMPRSS6	COL1A1	collagen, type I, alpha 1	TMPRSS6	transmembrane protease, serine 6	NA	NA	NA	HPRD	NA	NA	COL1A1	NA	NA	novel	literature supported
561	COL1A2_CD36	COL1A2	collagen, type I, alpha 2	CD36	CD36 molecule (thrombospondin receptor)	NA	NA	NA	HPRD	STRING.binding	NA	NA	CD36	NA	novel	literature supported
562	COL1A2_CD44	COL1A2	collagen, type I, alpha 2	CD44	CD44 molecule (Indian blood group)	NA	NA	NA	HPRD	NA	NA	NA	CD44	NA	novel	literature supported
563	COL1A2_CD93	COL1A2	collagen, type I, alpha 2	CD93	CD93 molecule	NA	NA	NA	HPRD	NA	NA	NA	CD93	NA	novel	literature supported
564	COL1A2_FLT4	COL1A2	collagen, type I, alpha 2	FLT4	fms-related tyrosine kinase 4	NA	NA	NA	NA	STRING.binding	NA	NA	FLT4	NA	novel	putative
565	COL1A2_ITGA1	COL1A2	collagen, type I, alpha 2	ITGA1	integrin, alpha 1	NA	NA	NA	NA	STRING.binding	NA	NA	ITGA1	NA	novel	putative
566	COL1A2_ITGA11	COL1A2	collagen, type I, alpha 2	ITGA11	integrin, alpha 11	NA	NA	NA	NA	STRING.binding	NA	NA	ITGA11	NA	novel	putative
567	COL1A2_ITGA2	COL1A2	collagen, type I, alpha 2	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	NA	NA	NA	HPRD	STRING.binding	STRING.experiment	NA	ITGA2	NA	novel	literature supported
568	COL1A2_ITGA2B	COL1A2	collagen, type I, alpha 2	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)	NA	NA	NA	HPRD	NA	NA	NA	ITGA2B	NA	novel	literature supported
569	COL1A2_ITGAV	COL1A2	collagen, type I, alpha 2	ITGAV	integrin, alpha V	NA	NA	NA	NA	STRING.binding	NA	NA	ITGAV	NA	novel	putative
570	COL1A2_ITGB1	COL1A2	collagen, type I, alpha 2	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	NA	NA	NA	NA	STRING.binding	NA	NA	ITGB1	NA	novel	putative
571	COL1A2_ITGB3	COL1A2	collagen, type I, alpha 2	ITGB3	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	NA	NA	NA	HPRD	NA	NA	NA	ITGB3	NA	novel	literature supported
572	COL2A1_DDR1	COL2A1	collagen, type II, alpha 1	DDR1	discoidin domain receptor tyrosine kinase 1	NA	NA	NA	HPRD	NA	NA	COL2A1	DDR1	NA	novel	literature supported
573	COL2A1_ITGA1	COL2A1	collagen, type II, alpha 1	ITGA1	integrin, alpha 1	NA	NA	NA	NA	STRING.binding	NA	COL2A1	ITGA1	NA	novel	putative
574	COL2A1_ITGA10	COL2A1	collagen, type II, alpha 1	ITGA10	integrin, alpha 10	NA	HPMR	NA	NA	STRING.binding	NA	COL2A1	ITGA10	NA	known	literature supported
575	COL2A1_ITGA2	COL2A1	collagen, type II, alpha 1	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	NA	HPMR	NA	NA	STRING.binding	NA	COL2A1	ITGA2	NA	known	literature supported
576	COL2A1_ITGA2B	COL2A1	collagen, type II, alpha 1	ITGA2B	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41)	NA	NA	NA	HPRD	NA	STRING.experiment	COL2A1	ITGA2B	NA	novel	literature supported
577	COL2A1_ITGB1	COL2A1	collagen, type II, alpha 1	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	NA	HPMR	NA	NA	STRING.binding	NA	COL2A1	ITGB1	NA	known	literature supported
578	COL2A1_MAG	COL2A1	collagen, type II, alpha 1	MAG	myelin associated glycoprotein	NA	NA	NA	HPRD	NA	NA	COL2A1	NA	NA	novel	literature supported
579	COL2A1_OR1E1	COL2A1	collagen, type II, alpha 1	OR1E1	olfactory receptor, family 1, subfamily E, member 1	NA	NA	NA	NA	STRING.binding	NA	COL2A1	OR1E1	NA	novel	putative
580	COL2A1_TNFRSF10A	COL2A1	collagen, type II, alpha 1	TNFRSF10A	tumor necrosis factor receptor superfamily, member 10a	NA	NA	NA	HPRD	NA	NA	COL2A1	TNFRSF10A	NA	novel	literature supported
581	COL3A1_DDR1	COL3A1	collagen, type III, alpha 1	DDR1	discoidin domain receptor tyrosine kinase 1	NA	NA	NA	HPRD	NA	NA	NA	DDR1	NA	novel	literature supported
582	COL3A1_DDR2	COL3A1	collagen, type III, alpha 1	DDR2	discoidin domain receptor tyrosine kinase 2	NA	NA	NA	HPRD	NA	NA	NA	DDR2	NA	novel	literature supported
583	COL3A1_ITGA2	COL3A1	collagen, type III, alpha 1	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	NA	NA	NA	NA	STRING.binding	NA	NA	ITGA2	NA	novel	putative
584	COL3A1_ITGB1	COL3A1	collagen, type III, alpha 1	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	NA	NA	NA	NA	STRING.binding	NA	NA	ITGB1	NA	novel	putative
585	COL3A1_MAG	COL3A1	collagen, type III, alpha 1	MAG	myelin associated glycoprotein	NA	NA	NA	HPRD	NA	NA	NA	NA	NA	novel	literature supported
586	COL4A1_CD47	COL4A1	collagen, type IV, alpha 1	CD47	CD47 molecule	NA	NA	NA	NA	STRING.binding	NA	COL4A1	CD47	NA	novel	putative
587	COL4A1_CD93	COL4A1	collagen, type IV, alpha 1	CD93	CD93 molecule	NA	NA	NA	HPRD	NA	NA	COL4A1	CD93	NA	novel	literature supported
588	COL4A1_ITGA1	COL4A1	collagen, type IV, alpha 1	ITGA1	integrin, alpha 1	NA	HPMR	NA	NA	STRING.binding	NA	COL4A1	ITGA1	NA	known	literature supported
589	COL4A1_ITGA2	COL4A1	collagen, type IV, alpha 1	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	NA	NA	NA	NA	STRING.binding	NA	COL4A1	ITGA2	NA	novel	putative
590	COL4A1_ITGAV	COL4A1	collagen, type IV, alpha 1	ITGAV	integrin, alpha V	NA	NA	NA	NA	STRING.binding	NA	COL4A1	ITGAV	14610079	novel	literature supported
591	COL4A1_ITGB1	COL4A1	collagen, type IV, alpha 1	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	NA	HPMR	NA	NA	STRING.binding	NA	COL4A1	ITGB1	NA	known	literature supported
592	COL4A1_ITGB8	COL4A1	collagen, type IV, alpha 1	ITGB8	integrin, beta 8	NA	HPMR	NA	NA	NA	NA	COL4A1	ITGB8	NA	known	literature supported
593	COL4A2_CD93	COL4A2	collagen, type IV, alpha 2	CD93	CD93 molecule	NA	NA	NA	HPRD	NA	NA	NA	CD93	NA	novel	literature supported
594	COL4A3_CD47	COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)	CD47	CD47 molecule	NA	NA	NA	NA	STRING.binding	NA	NA	CD47	10493512	novel	literature supported
595	COL4A3_CD93	COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)	CD93	CD93 molecule	NA	NA	NA	HPRD	NA	NA	NA	CD93	NA	novel	literature supported
596	COL4A3_ITGA1	COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)	ITGA1	integrin, alpha 1	NA	NA	NA	NA	STRING.binding	NA	NA	ITGA1	NA	novel	putative
597	COL4A3_ITGA2	COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	NA	NA	NA	NA	STRING.binding	NA	NA	ITGA2	NA	novel	putative
598	COL4A3_ITGAV	COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)	ITGAV	integrin, alpha V	NA	NA	NA	NA	STRING.binding	NA	NA	ITGAV	12842087	novel	literature supported
599	COL4A3_ITGB1	COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	NA	NA	NA	NA	STRING.binding	NA	NA	ITGB1	NA	novel	putative
600	COL4A4_CD47	COL4A4	collagen, type IV, alpha 4	CD47	CD47 molecule	NA	NA	NA	NA	STRING.binding	NA	NA	CD47	NA	novel	putative
601	COL4A4_CD93	COL4A4	collagen, type IV, alpha 4	CD93	CD93 molecule	NA	NA	NA	HPRD	NA	NA	NA	CD93	NA	novel	literature supported
602	COL4A4_ITGA1	COL4A4	collagen, type IV, alpha 4	ITGA1	integrin, alpha 1	NA	NA	NA	NA	STRING.binding	NA	NA	ITGA1	NA	novel	putative
603	COL4A4_ITGA2	COL4A4	collagen, type IV, alpha 4	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	NA	NA	NA	NA	STRING.binding	NA	NA	ITGA2	NA	novel	putative
604	COL4A4_ITGAV	COL4A4	collagen, type IV, alpha 4	ITGAV	integrin, alpha V	NA	NA	NA	NA	STRING.binding	NA	NA	ITGAV	NA	novel	putative
605	COL4A4_ITGB1	COL4A4	collagen, type IV, alpha 4	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	NA	NA	NA	NA	STRING.binding	NA	NA	ITGB1	NA	novel	putative
606	COL4A5_CD47	COL4A5	collagen, type IV, alpha 5	CD47	CD47 molecule	NA	NA	NA	NA	STRING.binding	NA	NA	CD47	NA	novel	putative
607	COL4A5_CD93	COL4A5	collagen, type IV, alpha 5	CD93	CD93 molecule	NA	NA	NA	HPRD	NA	NA	NA	CD93	NA	novel	literature supported
608	COL4A5_ITGA1	COL4A5	collagen, type IV, alpha 5	ITGA1	integrin, alpha 1	NA	NA	NA	NA	STRING.binding	NA	NA	ITGA1	NA	novel	putative
609	COL4A5_ITGA2	COL4A5	collagen, type IV, alpha 5	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	NA	NA	NA	NA	STRING.binding	NA	NA	ITGA2	NA	novel	putative
610	COL4A5_ITGAV	COL4A5	collagen, type IV, alpha 5	ITGAV	integrin, alpha V	NA	NA	NA	NA	STRING.binding	NA	NA	ITGAV	NA	novel	putative
611	COL4A5_ITGB1	COL4A5	collagen, type IV, alpha 5	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	NA	NA	NA	NA	STRING.binding	NA	NA	ITGB1	NA	novel	putative
612	COL4A6_CD47	COL4A6	collagen, type IV, alpha 6	CD47	CD47 molecule	NA	NA	NA	NA	STRING.binding	NA	NA	CD47	NA	novel	putative
613	COL4A6_CD93	COL4A6	collagen, type IV, alpha 6	CD93	CD93 molecule	NA	NA	NA	HPRD	NA	NA	NA	CD93	NA	novel	literature supported
614	COL4A6_ITGA1	COL4A6	collagen, type IV, alpha 6	ITGA1	integrin, alpha 1	NA	NA	NA	NA	STRING.binding	NA	NA	ITGA1	NA	novel	putative
615	COL4A6_ITGA2	COL4A6	collagen, type IV, alpha 6	ITGA2	integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	NA	NA	NA	NA	STRING.binding	NA	NA	ITGA2	NA	novel	putative
616	COL4A6_ITGAV	COL4A6	collagen, type IV, alpha 6	ITGAV	integrin, alpha V	NA	NA	NA	NA	STRING.binding	NA	NA	ITGAV	NA	novel	putative
617	COL4A6_ITGB1	COL4A6	collagen, type IV, alpha 6	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	NA	NA	NA	NA	STRING.binding	NA	NA	ITGB1	NA	novel	putative
618	COL5A1_ITGA1	COL5A1	collagen, type V, alpha 1	ITGA1	integrin, alpha 1	NA	NA	NA	NA	STRING.binding	NA	NA	ITGA1	NA	novel	putative
619	COL5A1_ITGB1	COL5A1	collagen, type V, alpha 1	ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	NA	NA	NA	NA	STRING.binding	NA	NA	ITGB1	NA	novel	putative
620	COL5A1_SDC3	COL5A1	collagen, type V, alpha 1	SDC3	syndecan 3	NA	NA	NA	HPRD	NA	NA	NA	SDC3	NA	novel	literature supported
