"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"51","Prothrombin activation intrinsic pathway",2.8031392750984e-06,0.00024006444114506,0.627256739718528,0.571753271865869,2.89133342678859,22,"FGA;F8;KNG1;COL4A4;COL4A2;FGG;FGB;KLKB1;F12;SERPING1;F2;SERPINC1;COL4A1;F5;F2R"
"52","Peptide G-protein coupled receptors",3.38783647063716e-06,0.00024085904050768,0.627256739718528,0.440798613094549,2.62124040519888,41,"CCL5;CXCL9;CXCL2;CXCR2;CXCR6;CCR7;KNG1;CCR9;C3;CXCR3;CXCR4;CCR6;QRFP;CCR2;XCL1;AGT;CCR5;APP;F2"
"53","Cytokine-cytokine receptor interaction",3.97490713155087e-06,0.000269751652154793,0.610526878385931,0.29785543606191,2.17288357257921,114,"CCL5;CXCL9;KDR;BMP2;CXCL2;FLT4;CXCR2;IL6ST;CXCR6;CCR7;FLT1;LTB;KIT;IL18R1;IFNGR1;CCR9;IL2RB;CSF1;CXCR3;CXCR4;CCR6;CCR2;XCL1;IL7R;VEGFA;TNFSF11;IL2;CCR5;IL2RG;EGFR;CSF2RB;BMPR2;TGFBR2;CD40LG;MET;IFNG;CSF3R;IL18RAP;CD27;ACVR2A;LIFR;IL1RAP;IL15RA;TNFRSF17;TGFBR1;IL1R1;PRLR;IL17RA"
"54","Alpha-M beta-2 integrin signaling",4.251415668083e-06,0.000273074060196683,0.610526878385931,0.508518400188036,2.74987519424249,28,"FGR;PLG;LCK;ITGB2;APOB;FYN;SELPLG;ICAM1;THY1;LRP1;BLK;LYN;MMP9;TLN1;NFKB1;MST1"
"55","Hematopoietic cell lineage",4.38967009023469e-06,0.000273074060196683,0.610526878385931,0.436772115788808,2.60570201541618,42,"CD3G;CD7;CD3D;MS4A1;CD3E;KIT;ITGA1;CD44;CD2;CD55;CSF1;CD37;CD34;CD22;IL7R;ITGA4;CD38;CD19;CSF3R;ITGA2B;CR2"
"56","complement activation, classical pathway (GO:0006958)",8.64198466274926e-07,0.000273842889000867,0.659444398037935,0.71498873163726,3.05888136255923,13,"TRBC2;IGKC;IGLC2;IGHM;TRBC1;IGHD;IGLC3;IGLC1;CRP;TRDC"
"57","humoral immune response mediated by circulating immunoglobulin (GO:0002455)",8.64198466274926e-07,0.000273842889000867,0.659444398037935,0.71498873163726,3.05888136255923,13,"TRBC2;IGKC;IGLC2;IGHM;TRBC1;IGHD;IGLC3;IGLC1;CRP;TRDC"
"58","Integrin beta-2 pathway",4.59705188978985e-06,0.00027453593885825,0.610526878385931,0.603156003126792,2.92666916878102,19,"FGA;KNG1;ITGB2;VCAM1;C3;ITGAX;ICAM1;THY1;FGG;ITGAL;FGB;CD40LG;F11R"
"59","Lck and Fyn tyrosine kinases in initiation of T cell receptor activation",4.80443386596656e-06,0.000275885375457233,0.610526878385931,0.766801190634229,2.96230721162344,9,"CD3G;CD3D;PTPRC;CD3E;LCK;FYN;CD247"
"60","positive regulation of T cell activation (GO:0050870)",9.32647675546793e-07,0.000278148453824838,0.659444398037935,0.460730833795652,2.698777280745,42,"CCL5;PTPRC;IL6ST;CCR7;CD3E;SIRPA;CD28;LCK;VCAM1;CD47;THY1;CCR2;GATA3;TNFSF11;PYCARD;IL2;CD6;DOCK8;CD40LG;FAM49B;JAK3;NCKAP1L;IL1B;TFRC;PRKCQ;CD86"
"61","regulation of protein processing (GO:0070613)",1.20644568821908e-06,0.00033981553551504,0.643551836150722,0.461759603773438,2.68029865200237,40,"IGKC;CLU;VTN;CFH;C4B;CD55;C3;C6;CFI;CPN2;IGLC1;CFB;C8A;SERPING1;F2;CD19;TMEM59;CFHR2;CR2;LRRK2;PRNP;CD81;C8G;CFHR1;C9;C5AR1;CPB2;C1QB;RNF139"
"62","CTL mediated immune response against target cells",7.29438803645544e-06,0.000403352642163999,0.610526878385931,0.72211749217188,3.00072389608627,11,"CD3G;CD3D;CD3E;ITGB2;ICAM1;GZMB;ITGAL;CD247;B2M"
"63","FCGR activation Homo sapiens R-HSA-2029481",3.76752604291461e-06,0.000403932613601059,0.627256739718528,0.714625977945359,2.93196485398251,12,"CD3G;IGKC;IGLC2;FGR;IGLC3;FYN;IGLC1;LYN;CD247"
"64","Alpha-4 beta-7 integrin signaling",8.12800847413481e-06,0.000418332750013658,0.593325476396405,0.785473236814802,2.90215160074002,8,"VCAM1;CD44;ITGB7;ITGA4;ITGB1;PTK2;PXN"
"65","Hemostasis pathway",7.9890715706624e-06,0.000418332750013658,0.593325476396405,0.215085027881558,1.80949536858192,315,"EHD3;TMSB4X;RAC2;FGA;FGR;SPARC;FN1;PLG;F8;SRGN;SIRPA;SLC8A1;KNG1;LCK;CLU;ITGB2;ABCC4;CD2;APOB;ALB;FYN;SELPLG;RHOB;SELL;ATP2B1;KIF11;LCP2;APBB1IP;SERPINF2;DOK2;HSPA5;RACGAP1;ITGAX;FCER1G;TFPI;CD47;GATA3;VEGFA;ATP2A2;FGG;PRKG1;SLC3A2;ITGAL;LAT;DOCK2;GNGT2;CD48;ATP2A3;FGB;GNG2;SH2B3;FLNA;SPN;MERTK;KLKB1;AKAP1;DOCK10;ATP1B3;PSAP;ITGA4;PDE2A;F12;ITGB1;KIF18A;DOCK8;APP;ESAM;SERPING1;APOA1;GNG11;F2;LYN;DGKA;SERPINC1;PECAM1;LAMP2;GNAI2;F11R;VAV1;ITGA2B;DOCK4;DGKD;PIK3R5;KLC1;F7;PRKCB;ACTN4;ARRB1;PHF21A;CALU;PTK2;PRKCE;F5;TLN1;ARRB2;F2R;KIF2A;GNAQ"
"66","Signaling by VEGF",8.4058824517145e-06,0.000418332750013658,0.593325476396405,0.837331863401606,2.95546139830474,7,"NRP1;KDR;FLT4;FLT1;NRP2;VEGFA"
"67","Binding of chemokines to chemokine receptors",9.37844289951735e-06,0.0004516779112574,0.593325476396405,0.530831345896073,2.78837007371453,25,"CCL5;CXCL9;CXCL2;CXCR2;CXCR6;CCR7;CCR9;CXCR3;CXCR4;CCR6;CCR2;XCL1;CCR5"
"68","serine-type endopeptidase activity (GO:0004252)",1.24067053193001e-06,0.0004644243357858,0.643551836150722,0.419302272671997,2.61528154025805,53,"GZMA;IGKC;PLG;DPP4;C4B;C3;KLK8;CTSS;TMPRSS6;CTSD;CFI;CTSB;GZMB;IGLC1;RHBDF1;CTSL;KLKB1;KLK1;PROZ;CFB;F12;F2;MMP9;MASP1;MBTPS1;F7"
"69","serine-type peptidase activity (GO:0008236)",1.70270701964366e-06,0.000478034995764958,0.643551836150722,0.399845991874191,2.53787109311344,57,"GZMA;IGKC;PLG;DPP4;C4B;C3;KLK8;CTSS;TMPRSS6;CTSD;CFI;CTSB;GZMB;IGLC1;RHBDF1;CTSL;KLKB1;KLK1;PROZ;CFB;F12;F2;TPP1;MMP9;MASP1;MBTPS1;F7"
"70","Generation of second messenger molecules Homo sapiens R-HSA-202433",5.01181599684212e-06,0.000501515720750668,0.610526878385931,0.596820289535217,2.84375107231659,20,"CD3G;CD3D;TRBC1;TRAC;FYB;CD3E;LCK;LCP2;GRAP2;LAT;EVL;ITK;CD247"
"71","Hematopoietic cell lineage",5.21919826397773e-06,0.000535837688435047,0.610526878385931,0.436772115788808,2.54772604807848,42,"CD3G;CD7;CD3D;MS4A1;CD3E;KIT;ITGA1;CD44;CD2;CD55;CSF1;CD37;CD34;CD22;IL7R;ITGA4;CD38;CD19;CSF3R;ITGA2B;CR2"
"72","Blood clotting cascade",1.16014444551818e-05,0.000541279892862077,0.593325476396405,0.653901318868884,2.91903583606909,14,"FGA;PLG;F8;SERPINF2;FGG;FGB;KLK1;F12;F2;F7;F5"
"73","regulation of complement activation (GO:0030449)",2.11526236919782e-06,0.00056444106378068,0.627256739718528,0.494481085590961,2.74749746385589,34,"IGKC;CLU;VTN;CFH;C4B;CD55;C3;C6;CFI;CPN2;IGLC1;CFB;C8A;SERPING1;F2;CD19;CFHR2;CR2;CD81;C8G;CFHR1;C9;C5AR1;CPB2;C1QB"
"74","Staphylococcus aureus infection",8.12800847413481e-06,0.000625856652508381,0.593325476396405,0.575584514978129,2.77705106836456,21,"FCGR2B;PLG;ITGB2;CFH;C4B;C3;SELPLG;PTAFR;CFI;ICAM1;FGG;ITGAL;CFB;MASP1"
"75","Chemokine receptors bind chemokines Homo sapiens R-HSA-380108",7.71119794972201e-06,0.000723406757658296,0.593325476396405,0.526011226039619,2.67087517210679,26,"CCL5;CXCL9;CXCL2;CXCR2;CXCR6;CCR7;CCR9;CXCR3;CXCR4;CCR6;CCR2;XCL1;CCR5"
"76","TGF-beta regulation of extracellular matrix",1.60570454727237e-05,0.000726459663356865,0.575610261071129,0.199212674505785,1.69266478194104,344,"EHD3;S100A11;CDH5;CKAP4;FN1;IFIT3;EPB41L2;SKAP1;VCAM1;DPP4;TIMP3;NRP2;SLPI;CD55;FYN;C6;CSF1;FGL2;CD34;COL4A2;CKB;TFPI;CAMK2B;CPD;CKLF;CCR2;VEGFA;PDP1;PLK2;CCND1;RGS2;AGT;PTPRK;CTSL;EPHA2;RABEP2;RBP1;LY96;PIM1;INSR;RGS5;TSPAN13;CDKN1C;SMAD7;PTPRF;CFB;RCAN1;STK17B;TGFBR3;APOA1;ICOS;MYH9;RPP38;CLK1;INPP4B;GJB1;NEDD9;HSPA13;HERPUD1;CASP1;GOLM1;FMO2;ID2;IFIT1;DENND4A;MBTPS1;CELF2;PKM;HMGCR;BTD;PGRMC1;ARL6IP5;IQGAP2;DDIT4;UGCG;APOE;F2R;CTSC;FADS1;ACTR3;GBP2;XRCC4;NCOA3;BNIP2;PPL;CAD;STK38;GOLIM4;INSIG1;IL1R1;CDC25B;KLF10;ARID5A;IARS;SUV39H1;CEBPD;MYC;PCK2;PTGS1;CFHR1;KDM5C;DPYSL2;NSMCE1;IL1B;SC5D;MGAT1;S1PR1;FAM3C;TM4SF1;CDC25A;GSTM3;ABCG1;FBLN1;EFEMP1;ATP1B1;OXA1L;HECA;PRPF6;UCK2;GSTM5;DHPS;SPINT2;POLD3;PFKP;IRF9;PDIA5;SLC20A1;ACSL3;TOB1;SSBP2;LCN2;NFIB;ETS2;CDC16;NCK2;MAP3K2;SSR1;ILF3;CTNNAL1;SNAI2;ASNS;ARMCX1;GOLGA4;E2F2;MTA1;CAP1;TGFBI;DAPK1;MID1;GM2A;TNFAIP2;ALOX5AP;ASAH1;TFDP1;LGALS3;GTPBP2;CD36;STX17;TFDP2;CDH2;SLC40A1;PTPN11;RRAS;TNFRSF1A;ARL4A;DHX38;EXT1;ETV5;NFE2L1;LPL;PDGFA;LHFP;NCK1;CHERP;SLC7A5;LIMK2;LAMA4;GOPC;GSK3A;GYPC;MTMR4;TBC1D10A;AEBP1;STMN1;PIK3R1;JAG1;SDC4;LHFPL2;SKIL;DLC1;COPB1;PCSK6;TGFB1;TAP1;MAP3K5;E2F1;NPC2;ACKR3;JUP;AHR;STOM;MCM5;PDE5A;BAMBI;CTBP1;INPP1;TNFSF10;E2F4;CUL5;CAV1;TCF7L1;RBL1;SVIL;VRK3;FBXW8;GRK5;ARHGEF3;MAP2K1;CAMK2D;SREBF2;GAS1;SMAD3;MICAL2;SLC2A1;PDGFD"
"77","phagocytosis (GO:0006909)",3.0438968026664e-06,0.000734883656643745,0.627256739718528,0.413050815746748,2.57099285819851,52,"FCGR2B;TRBC2;IGKC;IGLC2;IGHM;TRBC1;IGHD;CORO1A;ITGB2;IGLC3;C3;IGLC1;PDIA6;MERTK;LRP1;TRDC;GSN;ANXA3;MYH9;BIN2;PECAM1;MESD;TXNDC5;SH3BP1;CORO1C;ELMO1;ARHGAP12"
"78","regulation of B cell activation (GO:0050864)",3.00950285653406e-06,0.000734883656643745,0.627256739718528,0.582871749611847,2.8064651079075,20,"FCGR2B;TRBC2;IGKC;IGLC2;IGHM;TRBC1;IGHD;IGLC3;IGLC1;ZFP36L2;TRDC;IKZF3"
"79","regulation of immune effector process (GO:0002697)",3.21586659270006e-06,0.00074111107386315,0.627256739718528,0.461916760818016,2.62614443587717,37,"FCGR2B;IGKC;CLU;VTN;CFH;C4B;CD55;C3;C6;CFI;CPN2;IGLC1;CFB;C8A;SERPING1;F2;CD19;CFHR2;CR2;CD81;C8G;CFHR1;C9;C5AR1;CPB2;C1QB"
"80","Complement cascade",1.6894783777029e-05,0.000741879769973654,0.575610261071129,0.508206374157026,2.63194624510559,24,"IGKC;IGLC2;CFH;IGLC3;C4B;CD55;C3;C6;CFI;IGLC1;CRP;CFB;C8A;MASP1;C8G;C9;MASP2;C1QB;MBL2;PROS1"
"81","Signaling by GPCR Homo sapiens R-HSA-372790",8.82269380437027e-06,0.000778991964727046,0.593325476396405,0.203514747631072,1.73157136249273,372,"CCL5;CXCL9;CXCL2;RAC2;CXCR2;FGA;CXCR6;FN1;CCR7;CALCRL;DUSP2;KIT;KNG1;ERBB2;RGS1;CD55;CCR9;FYN;C3;RAMP2;IL2RB;RHOB;APBB1IP;RASAL2;CXCR3;IQGAP1;PTAFR;CXCR4;CAMK2B;CCR6;QRFP;CCR2;XCL1;FGG;ADCY3;JAK1;LAT;GNGT2;VIPR1;IL2;RGS2;FGB;AGT;CCR5;RASGRP3;RAMP1;GNG2;IL2RG;EGFR;CSF2RB;RGS14;RGS5;PIK3CD;TIAM1;SPTBN1;PSAP;PDE2A;ADCY7;APP;GNG11;GCGR;F2;GPR18;ARHGEF1;DGKA;GNAI2;SPRED2;PLCB2;ARHGEF2;VAV1;ITSN1;PLCB1;ADCY9;ITGA2B;PDE7A;XK;DGKD;PDE4B;PIK3R5;SPRED1;PRKCB;RASA1;ARHGEF6;ARRB1;PTK2;FGD4;PRKCE;WNT2;ERBB3;ARHGEF18;TLN1;RGS19;JAK3;ARRB2;SPTAN1;F2R;IRS2;GNAQ;PTPRA;RASA2;RGS3;IL17RD;GRK6;SPTBN2;FZD4;P2RY12;RASGRP1;AKAP9;PTCH1;PPP2R5B;KALRN;GNA14;ITPR2;ROCK2;WNT4;S1PR1;RAMP3;AKAP13;RHOC;CREB1;PIK3CA;NMB;PSME3;ACKR2;ECT2;PPP3CA;GNB4;PRKCQ;ITPR1;ARAF;DGKG;RASGRP4;C5AR1"
"82","positive regulation of leukocyte cell-cell adhesion (GO:1903039)",4.32054286736079e-06,0.000952397927718225,0.610526878385931,0.680157262651812,2.96737707916318,14,"SIRPA;ETS1;LCK;CD44;CD47;THY1;CCR2;TNFSF11;PYCARD;FAM49B"
"83","positive regulation of B cell activation (GO:0050871)",4.87356122671145e-06,0.00102953980914279,0.610526878385931,0.443546630596296,2.57458085629931,40,"CD74;TRBC2;IGKC;IGLC2;IGHM;TRBC1;PTPRC;IGHD;MEF2C;BCL2;IGLC3;GPR183;IGLC1;IL2;SASH3;TRDC;CD38;NFATC2;CD27;PAXIP1;IRS2;CD81;NCKAP1L;TFRC;SYK"
"84","cellular defense response (GO:0006968)",5.21919826397773e-06,0.00105845340793468,0.610526878385931,0.492247956397331,2.69425045538155,32,"CXCL9;TYROBP;CXCR2;NCR1;CD160;FCMR;CCR9;LSP1;CCR6;CCR5;SPN;KLRC2;LY96;SH2D1A;NCF1;ITGB1;ITK;CD19"
"85","Platelet Adhesion to exposed collagen Homo sapiens R-HSA-75892",1.27129473879674e-05,0.00106011855718551,0.593325476396405,0.87294215454498,2.86642763252519,6,"ITGA1;FYN;FCER1G;ITGB1;LYN"
"86","Complement cascade Homo sapiens R-HSA-166658",1.6894783777029e-05,0.00133468791838529,0.575610261071129,0.49199409637268,2.57231975931443,29,"IGKC;IGLC2;CLU;VTN;CFH;IGLC3;C4B;CD55;C3;C6;CFI;IGLC1;CRP;CFB;C8A;MASP1;C8G;C9;C5AR1;MASP2;C1QB;MBL2;PROS1"
"87","Translocation of ZAP-70 to Immunological synapse Homo sapiens R-HSA-202430",1.85702631009712e-05,0.00139369824572789,0.575610261071129,0.767128174261007,2.88286159286839,9,"CD3G;CD3D;TRBC1;TRAC;CD3E;LCK;CD247"
"88","Interleukin-12-mediated signaling events",3.33951748768568e-05,0.00142454274546135,0.557332238758646,0.370322773053973,2.3168682892733,53,"GZMA;CD3G;CD3D;FOS;CD3E;LCK;IL18R1;IL2RB;GZMB;STAT4;GADD45G;IL2;CCR5;IL2RG;SOCS1;STAT1;IFNG;CD247;B2M;IL18RAP;EOMES;ATF2;RIPK2;NFKB1;IL1R1;IL1B;STAT5A;PPP3CA"
"89","plasma membrane invagination (GO:0099024)",8.54481952027359e-06,0.00165670583659842,0.593325476396405,0.503824868178329,2.68439985435364,29,"FCGR2B;TRBC2;IGKC;IGLC2;IGHM;TRBC1;IGHD;ITGB2;IGLC3;C3;IGLC1;TRDC;GSN;MYH9;BIN2;SH3BP1;ELMO1;ARHGAP12"
"90","regulation of T cell activation (GO:0050863)",8.82269380437027e-06,0.00165670583659842,0.593325476396405,0.4844138701578,2.60603105244121,30,"CCL5;SIRPA;LCK;CD2;CD47;THY1;CCR2;TNFSF11;LAT;PYCARD;TNFAIP8L2;SIT1;PTPN22;GSN;FAM49B;LAX1"
"91","dendritic cell chemotaxis (GO:0002407)",1.21571957830383e-05,0.0022013208078573,0.593325476396405,0.694183595045022,2.89730554364326,12,"CCL5;CXCR2;CCR7;GPR183;CXCR4;CCR6;CCR2;CCR5"
"92","Platelet adhesion to exposed collagen",5.41615271953258e-05,0.00224619889173948,0.557332238758646,0.863697661656135,2.74316676011059,5,"FYN;FCER1G;ITGB1;LYN"
"93","Cell surface interactions at the vascular wall",5.64065449021865e-05,0.0022760803118639,0.557332238758646,0.326672976402685,2.14077479150188,68,"FN1;SIRPA;LCK;ITGB2;CD2;APOB;FYN;SELPLG;SELL;DOK2;ITGAX;FCER1G;CD47;SLC3A2;ITGAL;CD48;SPN;MERTK;ATP1B3;ITGA4;ITGB1;ESAM;F2;LYN;PECAM1;F11R"
"94","Peptide hormone metabolism Homo sapiens R-HSA-2980736",3.22726748699962e-05,0.00230672785618401,0.557332238758646,0.428707647709913,2.40641686884865,37,"DPP4;CTSD;AGT;ATP6AP2;TCF7L2;RAB27A;CTSZ;GATA4;EXOC5;EXOC4;KLF4;SPCS3;EXOC2;EXOC8;ENPEP;BCHE;KIF5B;INHBB;SPCS1;EXOC1;CPB2;SEC11A;SLC30A7;STX1A;SPCS2;MYO5A;SLC30A6"
"95","enzyme linked receptor protein signaling pathway (GO:0007167)",1.32686992351561e-05,0.00231973465938764,0.593325476396405,0.341106335136237,2.28944398848928,73,"KDR;CD7;FLT4;FGR;IL6ST;FLT1;CD3E;TXK;LCK;ERBB2;FYN;LCP2;CSF1;GRAP2;PILRA;JAK1;NPR1;STAP1;PTPRD;PTPRF;BMPR2;BLK;LYN;NEDD9;ITK;ACVR2A;PTK2;LIFR;ERBB3;CD3EAP;SLA;JAK3;ABL2"
"96","Lipoprotein metabolism",6.14799583768156e-05,0.00241551520675225,0.538434096309916,0.482707056381454,2.4998880162345,24,"APOA5;APOB;ALB;LDLR;P4HB;APOC2;MTTP;SDC1;APOA4;APOA1;ABCA1;LCAT;APOE;BMP1;LDLRAP1;ABCG1;SCARB1;APOA2;APOC3;LPL;HSPG2;SAR1B"
"97","Cell surface interactions at the vascular wall Homo sapiens R-HSA-202733",3.56401774733836e-05,0.00243163210852495,0.557332238758646,0.332441274038147,2.1869879606933,73,"CD74;FN1;SIRPA;LCK;ITGB2;CD44;CD2;APOB;FYN;SELPLG;SELL;DOK2;ITGAX;FCER1G;CD47;SLC3A2;ITGAL;CD48;SPN;MERTK;ATP1B3;ITGA4;ITGB1;ESAM;F2;LYN;PECAM1;F11R"
"98","GPCR ligand binding Homo sapiens R-HSA-500792",3.78851830035431e-05,0.00247241998644862,0.557332238758646,0.300277379753568,2.08529425545127,92,"CCL5;CXCL9;CXCL2;CXCR2;CXCR6;CCR7;CALCRL;KNG1;CD55;CCR9;C3;RAMP2;CXCR3;PTAFR;CXCR4;CCR6;QRFP;CCR2;XCL1;GNGT2;AGT;CCR5;RAMP1;GNG2;PSAP;APP;GNG11;GCGR;F2;GPR18;XK;WNT2;F2R;FZD4;P2RY12;PTCH1;WNT4;S1PR1;RAMP3;NMB;ACKR2;GNB4"
"99","Adhesion and diapedesis of granulocytes",7.05043024586755e-05,0.00269904932232827,0.538434096309916,0.697805137100964,2.69576158095469,9,"ITGB2;SELPLG;SELL;ICAM1;ITGAL;PECAM1;IFNG"
"100","Bile secretion",5.30390186480664e-05,0.00272266962393407,0.557332238758646,0.427557814738535,2.4121493913097,37,"ABCC4;AQP1;LDLR;SLC10A1;ADCY3;ATP1A1;ATP1B3;ABCB11;ADCY7;SLC27A5;ABCC2;ADCY9;SLC22A1;HMGCR;SLC22A7;AQP9;AQP8;ATP1B1;NCEH1;ABCB4;ABCC3;EPHX1"
"101","Leukocyte transendothelial migration",4.91102405788506e-05,0.00272266962393407,0.557332238758646,0.321418278619198,2.15422914311781,77,"RAC2;CDH5;TXK;CYBA;ITGB2;VCAM1;RHOH;ACTG1;CXCR4;CLDN5;ICAM1;THY1;EZR;ITGAL;MSN;PIK3CD;NCF1;ITGA4;ITGB1;ESAM;ITK;PECAM1;GNAI2;F11R;VAV1;MMP9;PRKCB;ACTN4;PTK2;MAPK12;PXN;ROCK2;PIK3CA;NCF4;SIPA1;VASP;RASSF5;BCAR1;VAV3;VAV2;CLDN3;JAM2;PLCG1;PTPN11;PIK3CB;ACTN1;ACTB;PTK2B;NCF2;PIK3R1"
"102","Leukocyte transendothelial migration",7.61445307943226e-05,0.00284209461189809,0.538434096309916,0.318177836355685,2.15707204816204,79,"RAC2;CDH5;TXK;CYBA;ITGB2;VCAM1;RHOH;ACTG1;CXCR4;CLDN5;ICAM1;THY1;EZR;ITGAL;MSN;PIK3CD;NCF1;ITGA4;ITGB1;ESAM;ITK;PECAM1;GNAI2;F11R;VAV1;MMP9;PIK3R5;PRKCB;ACTN4;PTK2;MAPK12;PXN;ROCK2;PIK3CA;NCF4;SIPA1;VASP;RASSF5;BCAR1;VAV3;VAV2"
"103","Integrin cell surface interactions",8.29128147995031e-05,0.00301923981696727,0.538434096309916,0.350329729047889,2.23120554348474,58,"FGA;FN1;ITGB2;VTN;ITGA1;VCAM1;COL4A4;APBB1IP;ITGAX;ICAM1;COL4A2;SPP1;ITGB7;FGG;ITGAL;FGB;ITGA4;CDH1;ITGB1;ITGA9;PECAM1;F11R;ITGA2B;COL4A1;PTK2;TLN1"
"104","Vitamin B12 metabolism",8.96811073833323e-05,0.00318794984103131,0.538434096309916,0.429685539922856,2.45746293750308,35,"CCL5;PLG;APOB;ALB;LDLR;ICAM1;INSR;CRP;APOA1;F2;IFNG;ABCA1;F7;APOE;NFKB1;TCN2"
"105","GPCR ligand binding",9.75774571922344e-05,0.00331098053609105,0.538434096309916,0.299770199262145,2.08624640586453,90,"CCL5;CXCL9;CXCL2;CXCR2;CXCR6;CCR7;CALCRL;KNG1;CD55;CCR9;C3;RAMP2;CXCR3;PTAFR;CXCR4;CCR6;QRFP;CCR2;XCL1;GNGT2;VIPR1;AGT;CCR5;RAMP1;GNG2;APP;GNG11;GCGR;F2;GPR18"
"106","Interleukin-17 signaling pathway",9.64494067399505e-05,0.00331098053609105,0.538434096309916,0.772356163632838,2.72612201581151,7,"CD3G;CD3D;CD3E;CD2;CD34;CD247"
"107","Formation of Fibrin Clot (Clotting Cascade) Homo sapiens R-HSA-140877",5.92238776115174e-05,0.00370396001228698,0.557332238758646,0.492113148732383,2.47356827798337,25,"FGA;F8;KNG1;TFPI;FGG;SERPIND1;FGB;KLKB1;F12;SERPING1;F2;SERPINC1;F7;F5;F2R"
"108","TSH regulation of gene expression",0.000119032666996162,0.00394923937389488,0.538434096309916,0.331703212536859,2.14060208478717,63,"S100A4;FOS;MEF2C;NR4A1;DUSP2;EGR1;CYBA;TIMP3;CSF1;ICAM1;CKB;VEGFA;ATP2A2;ADCY3;LYST;PLK2;RGS2;AGT;ID1;PTPRF;PDE2A;JUN;PDIA4;HMGCR;NOTCH1;TTF2;MYC;CAMKK2;HES1;VMP1;FNTB;ARHGAP29;PFKFB4;PPP1R15A;ADM;PPIC;CTTNBP2NL;SCHIP1;RGS16;PIK3R1;MAP3K3;TANC2;GADD45B;E2F1;STX11;VEGFB;AHR"
"109","positive regulation of ERK1 and ERK2 cascade (GO:0070374)",2.61099476130398e-05,0.00441258114660373,0.575610261071129,0.308698811995399,2.1798974243887,94,"CCL5;CD74;NRP1;KDR;BMP2;FLT4;FGA;CCR7;FLT1;KIT;ERBB2;CD44;GPR183;SERPINF2;ICAM1;XCL1;FGG;TNFSF11;PYCARD;FGB;EGFR;MERTK;EPHA2;INSR;EPHB4;PTPN22;APP;MET;DSTYK;GCNT2;FBXW7;NOTCH1;ARRB1;ERBB3;ARRB2;F2R;GLIPR2"
"110","TNF-alpha effects on cytokine activity, cell motility, and apoptosis",0.000137170466073809,0.00445207621409125,0.518848077743792,0.298352071028544,2.04761309010204,84,"CCL5;CXCL2;FLT4;CXCR2;LTB;ETS1;CD69;VCAM1;IL18R1;CD44;SLPI;LCP2;CSF1;ICAM1;IL7R;KLF7;IL2;CSF2RB;RAPGEF5;PMAIP1;APOA1;FNBP1;FLI1;CD40LG;LFNG;MMP9;NRIP1;NOTCH1;EFNA1;ERBB3;RIPK2;TNFAIP8"
"111","Class B GPCRs (secretin family receptors)",0.000143972156180359,0.00457341338675056,0.518848077743792,0.472580970253787,2.50956505921548,26,"CALCRL;CD55;RAMP2;GNGT2;VIPR1;RAMP1;GNG2;GNG11;GCGR;WNT2;FZD4;PTCH1;WNT4;RAMP3;GNB4"
"112","Fibrin clot formation (clotting cascade)",0.000159842790839238,0.0049717768067288,0.518848077743792,0.492586615524706,2.49099081218613,22,"FGA;F8;KNG1;TFPI;FGG;FGB;KLKB1;F12;SERPING1;F2;SERPINC1;F7;F5"
"113","cytoskeleton organization (GO:0007010)",3.11501758481462e-05,0.0050945610177452,0.557332238758646,0.317582005938709,2.19591335455493,85,"ABI2;CNN2;FMNL2;THY1;SUN1;EZR;SEMA6A;SYNE2;RHOJ;SYNE1;BRWD3;SH3KBP1;NEDD9;DAG1;FGD5;SUN2;LARP4;MAST4;DST;BRWD1;PTK2;FGD4;CECR2;DIAPH1;SIPA1L3;PHIP;TLN1;APOE;RHOQ;ZMYM5;FITM2;MICAL1;ARAP3;MICAL3;DPYSL2;FLNB;SIPA1;RTKN;PLCE1;PDZD8;MAST2;ZMYM2;MAST3;ZRANB1;ARHGAP4"
"114","Other semaphorin interactions Homo sapiens R-HSA-416700",8.96811073833323e-05,0.00538445368729527,0.538434096309916,0.61192700017799,2.6490809237331,14,"TYROBP;PTPRC;ITGA1;PLXND1;PLXNA2;PLXNC1;SEMA6A;ITGB1;CD72;SEMA4A"
"115","NO2-dependent IL-12 pathway in NK cells",0.000187049651419578,0.00569928835855978,0.518848077743792,0.561369967707598,2.5458927835817,15,"CD3G;CD3D;CD3E;CD2;CXCR3;STAT4;CCR5;IFNG;CD247"
"116","Angiotensin-converting enzyme 2 regulation of heart function",0.000200653101527902,0.00587402118786583,0.518848077743792,0.879269261318507,2.60634426107845,4,"COL4A4;COL4A2;AGT;COL4A1"
"117","Statin pathway",0.000200653101527902,0.00587402118786583,0.518848077743792,0.476731529230011,2.43817495117353,23,"APOA5;APOB;SOAT1;LDLR;APOC2;MTTP;LRP1;APOA4;APOA1;ABCA1;HMGCR;LCAT;APOE;DGAT1;SCARB1;APOA2;APOC3;LPL;SQLE;FDFT1"
